Address,Quantity
0x97f0bc0ad055abc5ebcfa545e777317afb79f0b9,1
0xc574409e998c9000960f7860758e3acf20969183,2
0x30358595a38095a7309ff5968e904318be4cef01,3
0x055ab8ea7e94fa2bbce4b92de44210a13256c65d,1
0xe487180770b46df07820f3f6492631e3cd0bc5f1,1
0x02f1e2947a99e299feb8da364e1ab89370ddbed3,2
0xa82a74b8f5877734d78345c5867e9578fbfac639,1
0x258d659606d65f3d8293b4af3b7f8e3a3478e880,1
0x570480a6f0a34f8ec85360990249dceb298fa288,2
0x3f483acc740b9f4cd43683f827a2cc2872697d6e,2
0xd6deae43a2cb8f9d24bb0cffbef2b66d5a8c13b4,2
0xc9f64274f5bc7f97f02129406eb6191d31548663,3
0xd8cfca70f22a95e3405ada6e734b31fa234c02e7,3
0xddda6444a6c53181111b8b89037382500b597b6d,4
0x03eb284b79b93e3e6813ea28c210d3a08a9eaff2,5
0x8ae49eda88a32b98945c3aebd89791fd695cce6f,5
0xc00faaed03a511723e9a1c1b5d5a1f6b6e30f3cb,1
0x5bdc052665526e955fc524a3aabd21044e3ea88c,1
0xc688805056ebdd43678cc7724622fc78c17ced7a,1
0x42a7f1b707c6c55efa37aaef7bc8578a90921bbe,1
0x41355aa4476b88602b2c5da24157aec351851245,1
0x0ab52f6a9a7ed603b6d7abcc587c236e15154694,1
0xfab92e973096623f071f27eeaad5e7b647672cfd,3
0x246f39ed460d2cf14e463ccfb57de422877f5fcd,1
0x292edf264ebafcd553017d49f6dca0c1e399ea92,1
0x5370bb6adc4818b1641d1105bfe0984b684e3661,2
0xff2ab7abef3b0782903f2debb62cf7529a4e9e2f,1
0x5767e4ebe2de0cd205c5d71aa4bbd2ac422b831d,6
0x6a0c30cfd1e8192553d4467c58416a35578200b0,1
0x694b5b8514bd2bf61f9307bce12d5f4fcfd19467,1
0x4acbd651df476963db90681f07c2f65c99e5c81e,1
0xf19691d0974eae2968208b1b1a659a2c1329a46a,1
0xeff9cf0574ede99eb23d34e9e058ad6056cfc3c7,3
0x7786bd0cb0d7fdaf29de25f9957d6ce831cce83e,1
0x7c01c67e8ff22b821d86ec8d719f16f9b81e2966,1
0xbb11c20dcd5aa01346394067404cfabe324af029,1
0x62f6187c0ea9560e1b266ea4ec7d36ff6e9155d5,1
0x51b7bf28dd1f01f09c6416cfce5536501c24f6b5,2
0x18796631c553457db35321da63336ac0b8a25a9a,1
0x1e15926e487243f30393f26e446928e699fc052c,1
0xee870c1636a53e0387ee90cd0b4bf54594c98a12,1
0x4cfa7ca463edd8518e891b9b8b7733cef3f40be2,1
0xa6548b76405da7588c70ff81b6ac0add6b0170ba,1
0x68e4df4490135bbfa8b9297e99d61329d400191e,2
0x4d3d726112d091ce397a800786067ed09f12e545,1
0x28b98e7f51b9e18852362965dee56994a6b32989,1
0xed74e8ce17f2dff13d801583c70f5e9a1ace5d6d,2
0x6c6cbc78ff59c9902eca549674ff0c65fbed5b05,1
0xc39fa47c8b3ff448e0f7b1f2bf1ac7ea644229d2,1
0xb2d56e9bc10640afef23d65b3d4956f50a8f382f,1
0x0612a345bab8cb5b4daccc65e033c9375eea998a,1
0x89a21f475b7cfb162b3ccfcbde18c4477ebe91b7,1
0x100505899081c370d40c1dd68193dc9a70dd7b3f,2
0xcf28eb2b10bc57b6f3a5f7cff0ca577785c12548,1
0xa816ecdaf03a40f7497b56ef29135d4940e32092,2
0xe7688fafe0bb405ce6094a9db2e2c14f94703459,7
0x6746bede3d6ddeb2635bfce166ff515bbfba21f1,5
0x91dba9cc094c41e493a9fc3be1a648d232a75423,1
0x7cab50dc256d224ab350627ae9dc1a7ccfde930b,1
0xc361baf4cbe4fbaca9cf62910726f054c3064cda,4
0xefa3a716012e9ec2782659f1d3060690559901b9,1
0x96c7c2f728df21307c1823cec3efd45064004de1,1
0xe60eba1e36bfb6d8f47edb46af6d66255741a717,1
0xa743587f6f4339fb099b2c36fd6ec5db8750fb36,1
0xbe28af10b22f729e5aa151bd3e85265a6c0c5a37,1
0xcf3677ac53a398ca6ace41329e9808e732bb6734,1
0xd301e51ae1edf6031a9babfa309726c777d314c1,1
0x39a9603d6d6e0c805c710e9d7ccd741cc426285a,1
0xf061ce44e30b453e544e1de8827019eb251789ed,1
0xedf7f7445363a477060709d7d77cb8dec4b000e4,2
0x2140b65cf13e63dc75c31deca6017bd24bd26d2a,4
0x2b4476048b13b397135453da9f60b959e7a388b0,2
0x4a39276dfb9575a9ebe0e432c916eb5bab918e4e,1
0xbda99088f3b327492c8b1a9a479dc0bc1cfe111d,1
0x3153acafaa7d1190324cfce205d11ea5a995bfe6,3
0x458b8a2ee594e26216016b07a275c40ab378c27c,1
0x72143426d767bc848ed9f8c7dbebe26a24ef8376,1
0xd4e0792076623d6bdb2f84a3bcc19bdc1869e2e3,1
0xb4d2dcd8fbc5799b14fb5d314dee967921436f34,1
